tid,count,score,anomaly_win,template
1,3,10.127,0,"bad protocol version identification <*> <*> <*> <NUM> <*> <*> <*> <*> <*> <*>"
2,2,10.4147,0,"<*> <*> <*> authentication <*> logname uid <NUM> euid <NUM> tty ssh ruser rhost cpe <NUM> <NUM> <NUM> <NUM> satx res rr com user root"
3,2,10.4147,0,"<*> <*> <*> authentication <*> logname uid <NUM> euid <NUM> tty ssh ruser rhost h <NUM> <NUM> <NUM> <NUM> na cust bahnhof se user root"
4,81,7.10658,0,"received disconnect from <IP> <NUM> client disconnecting normally preauth"
5,44,7.70663,0,"fatal read from socket failed connection reset by peer preauth"
6,220,6.11513,0,"did not receive identification string from <IP>"
7,3486,3.3565,0,"pam_unix sshd auth check pass user unknown"
8,30,8.07931,0,"pam_unix sshd session session closed for user fztu"
9,287,5.85033,0,"pam service sshd ignoring max retries <NUM> <NUM>"
10,247,5.99987,0,"disconnecting too many authentication failures for <*> preauth"
11,8055,2.51912,0,"received disconnect from <IP> <NUM> bye bye preauth"
12,46,7.66315,0,"received disconnect from <IP> <NUM> closed due to user request preauth"
13,6766,2.69348,0,"failed <*> for <*> <*> <*> <*> <*> <*> <*> <*>"
14,31,8.04756,0,"pam_unix sshd session session opened for user <*> by uid <NUM>"
15,1,10.8201,1,"bad protocol version identification <HTTP_METHOD> manager <PATH> http <PATH> from <IP> port <NUM>"
16,47,7.64209,0,"error received disconnect from <IP> <NUM> com jcraft jsch jschexception auth fail preauth"
17,240,6.0285,0,"error received disconnect from <IP> <NUM> no more user authentication methods available preauth"
18,1,10.8201,1,"error received disconnect from <IP> <NUM> java net sockettimeoutexception read timed out preauth"
19,10227,2.28041,0,"<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
20,2,10.4147,0,"<*> <*> <*> authentication <*> logname uid <NUM> euid <NUM> tty ssh ruser rhost cpc111119 wiga14 <NUM> <NUM> cust1205 <NUM> <NUM> cable virginm net"
21,1,10.8201,1,"error connect_to <IP> port <NUM> failed"
22,673,5.00007,0,"invalid user <*> <*> <*> <*>"
23,1,10.8201,1,"corrupted mac on input preauth"
24,2,10.4147,0,"fatal no hostkey alg preauth"
25,20825,1.56934,0,"connection closed by <IP> preauth"
26,670,5.00453,0,"input_userauth_request invalid user <*> preauth"
27,51,7.56205,0,"reverse mapping checking getaddrinfo for <NUM> <NUM> <NUM> <NUM> <*> <*> <*> <*> <IP> failed possible break in attempt"
28,15,8.74071,0,"address <IP> maps to <*> <*> <*> but this does not map back to the address possible break in attempt"
29,1,10.8201,1,"error received disconnect from <IP> <NUM> com jcraft jsch jschexception timeout in waiting for rekeying process preauth"
30,1,10.8201,1,"error received disconnect from <IP> <NUM> org vngx jsch userauth authcancelexception user authentication canceled by user preauth"
31,12954,2.04406,0,"pam_unix sshd auth authentication failure logname uid <NUM> euid <NUM> tty ssh ruser rhost <IP> <*> <*>"
32,14148,1.9559,0,"<*> password for <*> <*> <*> <*> <*> <*> <*> <*> <*>"
33,3182,3.44772,0,"failed <*> for invalid user <*> <*> <*> <*> <*> <*> <*>"
34,16757,1.78666,0,"<*> <*> <*> authentication <*> logname uid <NUM> euid <NUM> tty ssh ruser rhost <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
35,41,7.77563,0,"address <IP> maps to <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
36,2,10.4147,0,"<*> <*> <*> authentication <*> logname uid <NUM> euid <NUM> tty ssh ruser rhost avo172 neoplus adsl tpnet pl user root"
37,858,4.75753,0,"reverse mapping checking getaddrinfo for <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
