threshold,11.918540562
tid,count,score,anomaly_win,template
1,2,11.513075454,0,"error received disconnect from <IP> <NUM> com jcraft jsch jschexception timeout in waiting for rekeying process preauth"
2,1,11.918540562,1,"error received disconnect from <IP> <NUM> org vngx jsch userauth authcancelexception user authentication canceled by user preauth"
3,1,11.918540562,1,"reverse mapping checking getaddrinfo for ip54502346 adsl surfen hetnet nl <IP> failed possible break in attempt"
4,69,8.363192500,0,"reverse mapping checking getaddrinfo for host229 <NUM> <NUM> <NUM> serverdedicati aruba it <IP> failed possible break in attempt"
5,5312,4.033775816,0,"reverse mapping checking getaddrinfo for <IP> broad <*> <*> dynamic 163data com cn <IP> failed possible break in attempt"
6,8,10.414463165,0,"reverse mapping checking getaddrinfo for <NUM> <NUM> <NUM> <NUM> rev cloud scaleway com <IP> failed possible break in attempt"
7,1,11.918540562,1,"reverse mapping checking getaddrinfo for <NUM> <NUM> <NUM> <NUM> metroethernet dynamic fst sp faster net br <IP> failed possible break in attempt"
8,1,11.918540562,1,"corrupted mac on input preauth"
9,4,11.002249830,0,"fatal no hostkey alg preauth"
10,25335,2.471706154,0,"connection closed by <IP> preauth"
11,946,5.758388649,0,"invalid user <*> from <IP>"
12,946,5.758388649,0,"input_userauth_request invalid user <*> preauth"
13,2674,4.719983083,0,"reverse mapping checking getaddrinfo for dsl <NUM> <NUM> <NUM> <NUM> dyn prod infinitum com mx <IP> failed possible break in attempt"
14,3,11.225393381,0,"address <IP> maps to static vnpt vn but this does not map back to the address possible break in attempt"
15,2,11.513075454,0,"<*> <*> <*> authentication <*> logname uid <NUM> euid <NUM> tty ssh ruser rhost x5ce4c893 dyn telefonica de user root"
16,631,6.162798348,0,"reverse mapping checking getaddrinfo for <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
17,2,11.513075454,0,"<*> <*> <*> authentication <*> logname uid <NUM> euid <NUM> tty ssh ruser rhost cpc111119 wiga14 <NUM> <NUM> cust1205 <NUM> <NUM> cable virginm net"
18,474,6.448372938,0,"address <IP> maps to <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
19,6,10.665777593,0,"server listening on <*> <*> <*>"
20,2,11.513075454,0,"error connect_to <IP> port <NUM> failed"
21,630,6.164381880,0,"error received disconnect from <IP> <NUM> no more user authentication methods available preauth"
22,1,11.918540562,1,"error received disconnect from <IP> <NUM> java net sockettimeoutexception read timed out preauth"
23,54399,1.707568310,0,"<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
24,81,8.204968495,0,"received disconnect from <IP> <NUM> client disconnecting normally preauth"
25,1,11.918540562,1,"accepted password for suyuxin from <IP> port <NUM> ssh2"
26,432,6.540950014,0,"fatal read from socket failed connection reset by peer preauth"
27,328,6.815629992,0,"fatal <*> <*> <*> <*> <*> <*> <*> <*> <*>"
28,576,6.253845476,0,"did not receive identification string from <IP>"
29,12739,3.159185813,0,"pam_unix sshd auth check pass user unknown"
30,14,9.903637541,0,"bad protocol version identification <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
31,135,7.699032857,0,"error received disconnect from <IP> <NUM> com jcraft jsch jschexception <*> <*> <*> <*>"
32,6,10.665777593,0,"<*> <*> <*> authentication <*> logname uid <NUM> euid <NUM> tty ssh ruser rhost ip <NUM> <NUM> <NUM> <NUM> wlan cuhk edu hk user curi"
33,2,11.513075454,0,"<*> <*> <*> authentication <*> logname uid <NUM> euid <NUM> tty ssh ruser rhost cpe <NUM> <NUM> <NUM> <NUM> satx res rr com user root"
34,2,11.513075454,0,"<*> <*> <*> authentication <*> logname uid <NUM> euid <NUM> tty ssh ruser rhost h <NUM> <NUM> <NUM> <NUM> na cust bahnhof se user root"
35,246,7.102299406,0,"received disconnect from <IP> <NUM> closed due to user request preauth"
36,538,6.321972171,0,"failed <*> for invalid user <*> from <IP> port <NUM> ssh2"
37,18547,2.783570497,0,"failed <*> for <*> <*> <*> <*> <*> <*> <*> <*>"
38,152,7.581249821,0,"pam_unix sshd session session <*> for user suyuxin <*> <*> <*>"
39,15835,2.941646634,0,"pam service sshd ignoring max retries <NUM> <NUM>"
40,15266,2.978238827,0,"disconnecting too many authentication failures for root preauth"
41,27143,2.402776436,0,"received disconnect from <IP> <NUM> disconnected by user"
42,10,10.213792470,0,"received disconnect from <IP> <NUM> <*> <*> <*>"
43,23505,2.546676756,0,"<*> password for <*> <*> <*> <*> <*> <*> <*> <*> <*>"
44,7870,3.640747344,0,"failed <*> for invalid user <*> <*> <*> <*> <*> <*> <*>"
45,85122,1.259835194,0,"<*> <*> <*> authentication <*> logname uid <NUM> euid <NUM> tty ssh ruser rhost <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>"
