log_id,template_id,score,raw_log
32834,301,10.230252,"Jan  5 07:59:03 LabSZ sshd[16140]: Bad protocol version identification 'CONNECT xui.ptlogin2.qq.com:443 HTTP/1.1' from 113.96.223.207 port 45014"
35344,176,10.230252,"Jan  5 09:47:34 LabSZ sshd[17423]: error: Received disconnect from 195.154.45.62: 3: com.jcraft.jsch.JSchException: timeout in waiting for rekeying process. [preauth]"
45159,178,10.230252,"Jan  6 09:14:28 LabSZ sshd[22786]: Bad protocol version identification 'SSH-2.0' from 79.177.77.24 port 63599"
45841,10,10.230252,"Jan  6 12:52:23 LabSZ sshd[22942]: syslogin_perform_logout: logout() returned an error"
50118,15,10.230252,"Jan  7 02:17:54 LabSZ sshd[26945]: Invalid user utsims from 124.68.10.20"
50119,90,10.230252,"Jan  7 02:17:54 LabSZ sshd[26945]: input_userauth_request: invalid user utsims [preauth]"
50122,191,10.230252,"Jan  7 02:17:56 LabSZ sshd[26945]: Failed password for invalid user utsims from 124.68.10.20 port 43944 ssh2"
50145,183,10.230252,"Jan  7 02:25:50 LabSZ sshd[26959]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=host-92-28-234-81.as13285.net  user=root"
50149,181,10.230252,"Jan  7 02:26:09 LabSZ sshd[26959]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=host-92-28-234-81.as13285.net  user=root"
50151,164,10.230252,"Jan  7 02:32:27 LabSZ sshd[26961]: reverse mapping checking getaddrinfo for 178.161.237.181.dyn.v4.saturn-internet.ru [178.161.237.181] failed - POSSIBLE BREAK-IN ATTEMPT!"
50555,1,10.230252,"Jan  7 05:03:05 LabSZ sshd[27169]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=s0106802aa8cd93bf.vn.shawcable.net  user=root"
52296,198,10.230252,"Jan  7 08:07:21 LabSZ sshd[27862]: Failed password for invalid user telnet from 212.237.45.42 port 39748 ssh2"
52645,25,10.230252,"Jan  7 10:28:47 LabSZ sshd[28193]: Invalid user admln from 118.186.36.50"
52646,100,10.230252,"Jan  7 10:28:47 LabSZ sshd[28193]: input_userauth_request: invalid user admln [preauth]"
52649,202,10.230252,"Jan  7 10:28:49 LabSZ sshd[28193]: Failed password for invalid user admln from 118.186.36.50 port 33575 ssh2"
52681,28,10.230252,"Jan  7 10:29:10 LabSZ sshd[28205]: Invalid user alan from 118.186.36.50"
52682,103,10.230252,"Jan  7 10:29:10 LabSZ sshd[28205]: input_userauth_request: invalid user alan [preauth]"
52685,205,10.230252,"Jan  7 10:29:12 LabSZ sshd[28205]: Failed password for invalid user alan from 118.186.36.50 port 46764 ssh2"
52687,29,10.230252,"Jan  7 10:29:19 LabSZ sshd[28207]: Invalid user alice from 118.186.36.50"
